D_pop,1,-0.03938,-0.0120738,-0.00953209,-0.0315115,-0.0140966,-0.0216064,-0.0263251,-0.014096,0.0147825
B_pop,-0.03938,1,0.063316,0.13438,0.0232879,0.227788,0.558467,0.426728,0.0310527,-0.0187373
Time0_pop,-0.0120738,0.063316,1,-0.0182199,0.0238057,0.0356602,0.202572,0.392592,0.0512084,-0.0563449
omega_alpha,-0.00953209,0.13438,-0.0182199,1,-0.000678579,0.11025,0.0305687,0.0820924,-0.014951,0.0155794
omega_D,-0.0315115,0.0232879,0.0238057,-0.000678579,1,0.0132327,0.0427088,0.0451075,0.0779677,-0.0840131
omega_C,-0.0140966,0.227788,0.0356602,0.11025,0.0132327,1,0.194877,0.181978,0.0203131,-0.0174262
omega_B,-0.0216064,0.558467,0.202572,0.0305687,0.0427088,0.194877,1,0.411845,0.109125,-0.106037
omega_Time0,-0.0263251,0.426728,0.392592,0.0820924,0.0451075,0.181978,0.411845,1,0.109702,-0.112879
a,-0.014096,0.0310527,0.0512084,-0.014951,0.0779677,0.0203131,0.109125,0.109702,1,-0.918857
b,0.0147825,-0.0187373,-0.0563449,0.0155794,-0.0840131,-0.0174262,-0.106037,-0.112879,-0.918857,1
