D_pop,1,0.258375,0.212812,0.165553,-0.206233,0.0388481,0.10058,-0.112824
B_pop,0.258375,1,0.521823,0.372823,-0.291114,0.206438,0.21308,-0.229143
Time0_pop,0.212812,0.521823,1,0.287831,-0.364485,0.330046,0.227293,-0.230359
omega_D,0.165553,0.372823,0.287831,1,-0.255348,0.0970269,0.13052,-0.145344
omega_B,-0.206233,-0.291114,-0.364485,-0.255348,1,0.00374501,-0.215914,0.230242
omega_Time0,0.0388481,0.206438,0.330046,0.0970269,0.00374501,1,0.0223153,-0.0259827
a,0.10058,0.21308,0.227293,0.13052,-0.215914,0.0223153,1,-0.903496
b,-0.112824,-0.229143,-0.230359,-0.145344,0.230242,-0.0259827,-0.903496,1
