D_pop,1,-0.0671836,-0.0578099,-0.00816625,-0.0228964,0.0624703,-0.0668633,-0.0232453,0.0249396
B_pop,-0.0671836,1,0.277656,0.0276081,0.0686448,-0.561306,0.432512,0.0808979,-0.0794378
Time0_pop,-0.0578099,0.277656,1,-0.0347581,0.0885039,-0.249237,0.56017,0.136219,-0.146235
omega_alpha,-0.00816625,0.0276081,-0.0347581,1,0.00632997,-0.098436,-0.0414711,0.0089375,-0.0112072
omega_D,-0.0228964,0.0686448,0.0885039,0.00632997,1,-0.0778194,0.113365,0.0937499,-0.101014
omega_B,0.0624703,-0.561306,-0.249237,-0.098436,-0.0778194,1,-0.347255,-0.110302,0.115495
omega_Time0,-0.0668633,0.432512,0.56017,-0.0414711,0.113365,-0.347255,1,0.193801,-0.205359
a,-0.0232453,0.0808979,0.136219,0.0089375,0.0937499,-0.110302,0.193801,1,-0.91826
b,0.0249396,-0.0794378,-0.146235,-0.0112072,-0.101014,0.115495,-0.205359,-0.91826,1
