D_pop,1,0.0496056,0.0215089,-0.0297867,-0.0195323,-0.0290021,0.0339453,0.027772,-0.0132635,0.0152144
B_pop,0.0496056,1,0.23538,-0.478512,-0.0479186,-0.69542,0.630846,0.220895,0.0371439,-0.0268475
Time0_pop,0.0215089,0.23538,1,-0.175792,-0.0399673,-0.247868,0.337173,0.453926,-0.0415909,0.0459698
omega_alpha,-0.0297867,-0.478512,-0.175792,1,0.0296114,0.386869,-0.402262,-0.154124,-0.00777231,0.000134121
omega_D,-0.0195323,-0.0479186,-0.0399673,0.0296114,1,0.0457001,-0.0666784,-0.0458648,0.0728613,-0.0797984
omega_C,-0.0290021,-0.69542,-0.247868,0.386869,0.0457001,1,-0.720153,-0.272446,0.00416232,-0.0152998
omega_B,0.0339453,0.630846,0.337173,-0.402262,-0.0666784,-0.720153,1,0.43155,-0.047794,0.0591804
omega_Time0,0.027772,0.220895,0.453926,-0.154124,-0.0458648,-0.272446,0.43155,1,-0.0261726,0.0295312
a,-0.0132635,0.0371439,-0.0415909,-0.00777231,0.0728613,0.00416232,-0.047794,-0.0261726,1,-0.917476
b,0.0152144,-0.0268475,0.0459698,0.000134121,-0.0797984,-0.0152998,0.0591804,0.0295312,-0.917476,1
