D_pop,1,0.0189512,-0.0390924,-0.000457488,-0.0201406,-0.0122764,-0.0311981,-0.013468,0.015506
B_pop,0.0189512,1,-0.138004,-0.0485833,-0.0117517,0.222808,0.124334,-0.00541488,0.0148038
Time0_pop,-0.0390924,-0.138004,1,-0.0647841,0.0668074,0.0495127,0.522511,0.107234,-0.120278
omega_alpha,-0.000457488,-0.0485833,-0.0647841,1,-0.0193082,-0.104462,-0.0873266,-0.0619723,0.0653016
omega_D,-0.0201406,-0.0117517,0.0668074,-0.0193082,1,0.00528833,0.0746577,0.0809871,-0.0891258
omega_B,-0.0122764,0.222808,0.0495127,-0.104462,0.00528833,1,0.143545,-0.00802072,0.00661358
omega_Time0,-0.0311981,0.124334,0.522511,-0.0873266,0.0746577,0.143545,1,0.13467,-0.145644
a,-0.013468,-0.00541488,0.107234,-0.0619723,0.0809871,-0.00802072,0.13467,1,-0.911312
b,0.015506,0.0148038,-0.120278,0.0653016,-0.0891258,0.00661358,-0.145644,-0.911312,1
