rep,id,alpha,D,E,C,B,ECLIPSE0,BUD0,ep,Time0
1,1,0.000155061,0.240805,5,10,5978.21,1e-07,0.033,0.001,12.3779
2,1,7.07352e-05,0.244269,5,10,8487.53,1e-07,0.033,0.001,13.9696
3,1,0.000382296,0.225582,5,10,9429.17,1e-07,0.033,0.001,13.9997
4,1,0.00108495,0.241141,5,10,7426.49,1e-07,0.033,0.001,10.2044
5,1,6.7186e-05,0.247122,5,10,6896.69,1e-07,0.033,0.001,14
6,1,6.76003e-05,0.242019,5,10,6856.05,1e-07,0.033,0.001,13.9078
7,1,0.214667,0.213854,5,10,8862.73,1e-07,0.033,0.001,12.7489
8,1,0.18086,0.248163,5,10,8073.42,1e-07,0.033,0.001,9.76519
9,1,0.000991704,0.242748,5,10,7778.09,1e-07,0.033,0.001,11.6414
10,1,0.000104416,0.245573,5,10,6660.96,1e-07,0.033,0.001,13.9979
1,2,0.736405,0.454488,5,10,8867.06,1e-07,0.033,0.001,13.9983
2,2,0.00160045,0.46587,5,10,8143.76,1e-07,0.033,0.001,13.9887
3,2,0.0143547,0.452546,5,10,8638.8,1e-07,0.033,0.001,13.9002
4,2,0.0499709,0.437854,5,10,8437.58,1e-07,0.033,0.001,13.9966
5,2,0.00223416,0.450282,5,10,8250.06,1e-07,0.033,0.001,13.9651
6,2,0.00304463,0.45707,5,10,7683.52,1e-07,0.033,0.001,13.9556
7,2,1.46664,0.465006,5,10,6639.37,1e-07,0.033,0.001,13.9993
8,2,0.000949267,0.466409,5,10,8975.12,1e-07,0.033,0.001,13.9986
9,2,0.0539464,0.437547,5,10,8559.65,1e-07,0.033,0.001,13.9815
10,2,0.0308721,0.447792,5,10,8125.12,1e-07,0.033,0.001,13.9999
1,3,0.000304993,0.307665,5,10,7266.4,1e-07,0.033,0.001,1.20219
2,3,0.000352561,0.307937,5,10,7556.59,1e-07,0.033,0.001,1.04763
3,3,0.000192725,0.316151,5,10,7417.89,1e-07,0.033,0.001,1.57325
4,3,0.00026028,0.312051,5,10,6803.59,1e-07,0.033,0.001,1.50224
5,3,0.00021929,0.301733,5,10,6943.75,1e-07,0.033,0.001,1.57887
6,3,0.000300902,0.304491,5,10,6245.22,1e-07,0.033,0.001,1.65045
7,3,0.000284545,0.313965,5,10,6706.48,1e-07,0.033,0.001,1.42176
8,3,0.0002512,0.310011,5,10,7467.01,1e-07,0.033,0.001,1.32618
9,3,0.000206346,0.319145,5,10,8478.3,1e-07,0.033,0.001,1.1686
10,3,0.000203673,0.311486,5,10,7549.38,1e-07,0.033,0.001,1.46977
