rep,id,eta_alpha,eta_D,eta_E,eta_C,eta_B,eta_ECLIPSE0,eta_BUD0,eta_ep,eta_Time0
1,1,1.20962,-0.345565,0,0,-0.00369804,0,0,0,-1.37138
2,1,0.338291,-0.283383,0,0,0.0601593,0,0,0,2.57107
3,1,3.03701,-0.400672,0,0,0.0346486,0,0,0,-1.81259
4,1,4.19451,-0.356978,0,0,-0.151847,0,0,0,-2.18365
5,1,0.389591,-0.254571,0,0,-0.0796372,0,0,0,11.1124
6,1,0.696232,-0.250997,0,0,-0.13798,0,0,0,-0.220382
7,1,2.44601,-0.443013,0,0,0.157632,0,0,0,7.76284
8,1,1.12499,-0.356901,0,0,0.151018,0,0,0,1.3388
9,1,0.71762,-0.311558,0,0,-0.0659573,0,0,0,8.57042
10,1,0.886414,-0.295803,0,0,-0.137536,0,0,0,4.93996
1,2,6.6721,0.334774,0,0,0.0657498,0,0,0,5.14161
2,2,6.56001,0.337587,0,0,-0.010143,0,0,0,1.2262
3,2,5.99642,0.326767,0,0,0.172201,0,0,0,1.2126
4,2,4.3015,0.29775,0,0,0.10909,0,0,0,3.85578
5,2,4.24718,0.319474,0,0,0.0561836,0,0,0,2.03294
6,2,5.07721,0.333232,0,0,0.182839,0,0,0,1.63325
7,2,11.1723,0.346314,0,0,-0.0780476,0,0,0,7.09831
8,2,3.591,0.356386,0,0,0.231717,0,0,0,4.90254
9,2,6.04096,0.290921,0,0,0.00660616,0,0,0,1.15533
10,2,5.7899,0.325976,0,0,0.0886986,0,0,0,8.89094
1,3,1.97619,-0.0712878,0,0,-0.079065,0,0,0,-5.99069
2,3,1.83624,-0.05528,0,0,0.0118642,0,0,0,-6.13451
3,3,1.65878,-0.0489967,0,0,-0.0524879,0,0,0,-5.84009
4,3,1.98325,-0.039508,0,0,-0.0263514,0,0,0,-6.16154
5,3,1.85573,-0.093883,0,0,-0.128601,0,0,0,-5.8336
6,3,2.11646,-0.100093,0,0,-0.146471,0,0,0,-5.83714
7,3,2.10271,-0.0632475,0,0,-0.138109,0,0,0,-5.87378
8,3,1.77281,-0.0401183,0,0,-0.0368852,0,0,0,-5.95441
9,3,1.52864,-0.0381669,0,0,-0.0714883,0,0,0,-5.68783
10,3,2.07205,-0.0566679,0,0,0.0275352,0,0,0,-6.18826
