rep,id,alpha,D,E,C,B,ECLIPSE0,BUD0,ep,Time0
1,1,5.38894e-05,0.249882,5,10,7181.82,1e-07,0.033,0.001,13.39
2,1,7.69061e-05,0.240756,5,10,7231.32,1e-07,0.033,0.001,13.8992
3,1,0.00250863,0.218567,5,10,7816.19,1e-07,0.033,0.001,12.8208
4,1,0.000193799,0.275054,5,10,6481.38,1e-07,0.033,0.001,10.4993
5,1,7.80585e-05,0.24035,5,10,7059.72,1e-07,0.033,0.001,14
6,1,8.73327e-05,0.246791,5,10,6717.47,1e-07,0.033,0.001,12.3035
7,1,0.000129347,0.229857,5,10,7332.66,1e-07,0.033,0.001,13.9993
8,1,0.000778191,0.217605,5,10,7817.5,1e-07,0.033,0.001,13.6757
9,1,9.28603e-05,0.232323,5,10,6813.44,1e-07,0.033,0.001,13.9998
10,1,5.13246e-05,0.266355,5,10,6907.43,1e-07,0.033,0.001,13.9999
1,2,0.0139146,0.45923,5,10,7637.58,1e-07,0.033,0.001,13.9998
2,2,0.0254976,0.455901,5,10,7078.57,1e-07,0.033,0.001,13.8832
3,2,0.0674079,0.453777,5,10,7645.85,1e-07,0.033,0.001,13.8605
4,2,0.0043542,0.445723,5,10,7101.47,1e-07,0.033,0.001,13.9999
5,2,0.00504232,0.446259,5,10,6951.41,1e-07,0.033,0.001,13.9574
6,2,0.0069831,0.451509,5,10,7181.88,1e-07,0.033,0.001,14
7,2,6.94977,0.453363,5,10,6816.11,1e-07,0.033,0.001,13.9998
8,2,0.00224969,0.45951,5,10,7755.77,1e-07,0.033,0.001,13.9989
9,2,0.0840037,0.437904,5,10,7079.38,1e-07,0.033,0.001,13.9939
10,2,0.00225841,0.450133,5,10,7589.69,1e-07,0.033,0.001,13.9999
1,3,0.000270804,0.308436,5,10,7312.59,1e-07,0.033,0.001,1.12479
2,3,0.00021472,0.310112,5,10,7483.06,1e-07,0.033,0.001,1.2477
3,3,0.000244247,0.3104,5,10,6885.16,1e-07,0.033,0.001,1.46565
4,3,0.000342078,0.307438,5,10,6628.12,1e-07,0.033,0.001,1.31014
5,3,0.000253839,0.298407,5,10,6943.31,1e-07,0.033,0.001,1.44457
6,3,0.000237286,0.300008,5,10,6994.36,1e-07,0.033,0.001,1.46164
7,3,0.000237376,0.313173,5,10,6762.65,1e-07,0.033,0.001,1.46446
8,3,0.000187109,0.312875,5,10,7237.08,1e-07,0.033,0.001,1.51494
9,3,0.000338426,0.311247,5,10,7326.83,1e-07,0.033,0.001,1.11846
10,3,0.00030395,0.308165,5,10,7058.33,1e-07,0.033,0.001,1.24373
