D_pop,1,0.0271566,-0.0129929,-0.0366202,-0.0547091,-0.0203472,-0.00930364,0.0896784,-0.0901174
B_pop,0.0271566,1,0.12463,-0.0377966,-0.0439964,0.574506,0.159841,0.099748,-0.108998
Time0_pop,-0.0129929,0.12463,1,-0.177271,0.00729592,0.174632,0.615528,-0.0149531,0.0176827
omega_alpha,-0.0366202,-0.0377966,-0.177271,1,0.0236036,0.0593155,-0.159906,-0.0659615,0.0719436
omega_D,-0.0547091,-0.0439964,0.00729592,0.0236036,1,-0.000627733,-0.000946154,-0.0564708,0.0598298
omega_B,-0.0203472,0.574506,0.174632,0.0593155,-0.000627733,1,0.218989,-0.0371066,0.0547431
omega_Time0,-0.00930364,0.159841,0.615528,-0.159906,-0.000946154,0.218989,1,-0.00959274,0.0125507
a,0.0896784,0.099748,-0.0149531,-0.0659615,-0.0564708,-0.0371066,-0.00959274,1,-0.980439
b,-0.0901174,-0.108998,0.0176827,0.0719436,0.0598298,0.0547431,0.0125507,-0.980439,1
