D_pop,0.0742685,-1.51107e-06,-0.010728,0.0016704,-0.00260554,0.73592,2.50462e-06,-0.00737801,-0.000230382,6.47085e-05
B_pop,-1.51107e-06,7.2277e-07,3.826e-05,-2.21752e-06,4.75701e-06,-0.0240383,3.46444e-09,0.000199258,3.34652e-06,-8.50031e-07
Time0_pop,-0.010728,3.826e-05,11.8762,-1.16885,0.0108246,-39.7289,-0.000138977,5.23361,0.005968,-0.00182956
omega_alpha,0.0016704,-2.21752e-06,-1.16885,43.9148,-0.006396,38.8016,0.000273252,-1.01991,-0.0055099,0.00132679
omega_D,-0.00260554,4.75701e-06,0.0108246,-0.006396,0.0412222,-0.682953,-1.03707e-06,0.022557,0.00115744,-0.000312689
omega_C,0.73592,-0.0240383,-39.7289,38.8016,-0.682953,9353.32,0.00984226,-51.9481,-0.415225,0.121039
omega_B,2.50462e-06,3.46444e-09,-0.000138977,0.000273252,-1.03707e-06,0.00984226,2.41127e-07,-0.000118687,-4.74582e-07,1.69905e-07
omega_Time0,-0.00737801,0.000199258,5.23361,-1.01991,0.022557,-51.9481,-0.000118687,11.8409,0.0182879,-0.00502275
a,-0.000230382,3.34652e-06,0.005968,-0.0055099,0.00115744,-0.415225,-4.74582e-07,0.0182879,0.00553185,-0.00125765
b,6.47085e-05,-8.50031e-07,-0.00182956,0.00132679,-0.000312689,0.121039,1.69905e-07,-0.00502275,-0.00125765,0.000340133
