D_pop,0.0287517,0.00247099,0.00295338,-0.113465,-6.9785e-05,0.905357,0.00120033,0.00411364,0.00153491,-0.000348328
B_pop,0.00247099,0.0214333,0.0124574,-0.26633,-0.00141491,1.23438,0.00569036,0.0207643,0.00486935,-0.00118002
Time0_pop,0.00295338,0.0124574,0.165123,-0.658627,0.00125462,-12.5544,0.0090803,0.0995012,0.00900243,-0.00231449
omega_alpha,-0.113465,-0.26633,-0.658627,52.2227,0.0544781,-120.172,-0.0533467,-0.562939,-0.128549,0.0317838
omega_D,-6.9785e-05,-0.00141491,0.00125462,0.0544781,0.0162692,1.35254,-0.000482405,-0.000442407,0.000267177,-8.93055e-05
omega_C,0.905357,1.23438,-12.5544,-120.172,1.35254,71140.4,-4.76835,-11.5217,-1.87296,0.415982
omega_B,0.00120033,0.00569036,0.0090803,-0.0533467,-0.000482405,-4.76835,0.00965562,0.0100724,0.00310046,-0.000727087
omega_Time0,0.00411364,0.0207643,0.0995012,-0.562939,-0.000442407,-11.5217,0.0100724,0.155268,0.0112433,-0.0028075
a,0.00153491,0.00486935,0.00900243,-0.128549,0.000267177,-1.87296,0.00310046,0.0112433,0.0208719,-0.00458113
b,-0.000348328,-0.00118002,-0.00231449,0.0317838,-8.93055e-05,0.415982,-0.000727087,-0.0028075,-0.00458113,0.00112768
