D_pop,1,0.064257,-0.0411613,0.0321471,-0.0581196,-0.0554457,-0.0382165,0.0991642,-0.0977303
B_pop,0.064257,1,0.0120161,0.0308687,-0.0393355,-0.228098,0.0122103,0.268885,-0.280163
Time0_pop,-0.0411613,0.0120161,1,-0.74011,0.0458513,0.658582,0.960846,-0.0639327,0.070574
omega_alpha,0.0321471,0.0308687,-0.74011,1,-0.0551055,-0.551236,-0.734755,0.07333,-0.0781944
omega_D,-0.0581196,-0.0393355,0.0458513,-0.0551055,1,0.0406164,0.0408236,-0.0613711,0.0637124
omega_B,-0.0554457,-0.228098,0.658582,-0.551236,0.0406164,1,0.668192,-0.176755,0.181387
omega_Time0,-0.0382165,0.0122103,0.960846,-0.734755,0.0408236,0.668192,1,-0.0596573,0.0662546
a,0.0991642,0.268885,-0.0639327,0.07333,-0.0613711,-0.176755,-0.0596573,1,-0.98221
b,-0.0977303,-0.280163,0.070574,-0.0781944,0.0637124,0.181387,0.0662546,-0.98221,1
