D_pop,1,-0.0794752,-0.0298319,-0.0257098,-0.00874247,-0.0375494,-0.0335139,0.00674662,-0.00710101
B_pop,-0.0794752,1,-0.0809885,0.26359,-0.0398628,0.397944,-0.0635477,-0.124157,0.133663
Time0_pop,-0.0298319,-0.0809885,1,-0.00612045,0.0683484,-0.0126454,0.380713,0.0988837,-0.110579
omega_alpha,-0.0257098,0.26359,-0.00612045,1,0.0057515,0.0813426,0.00927281,-0.00144181,-0.00192893
omega_D,-0.00874247,-0.0398628,0.0683484,0.0057515,1,-0.0158274,0.0670832,0.0821398,-0.090076
omega_B,-0.0375494,0.397944,-0.0126454,0.0813426,-0.0158274,1,0.00174218,-0.0523912,0.0584853
omega_Time0,-0.0335139,-0.0635477,0.380713,0.00927281,0.0670832,0.00174218,1,0.0885273,-0.100818
a,0.00674662,-0.124157,0.0988837,-0.00144181,0.0821398,-0.0523912,0.0885273,1,-0.919633
b,-0.00710101,0.133663,-0.110579,-0.00192893,-0.090076,0.0584853,-0.100818,-0.919633,1
