D_pop,0.0741231,4.82633e-07,-0.00123298,-0.0128567,-0.00194474,0.0610267,1.90758e-07,0.011942,-0.000488483,0.000134356
B_pop,4.82633e-07,6.37374e-09,2.82619e-05,-9.27659e-05,-5.24253e-07,-0.000652628,1.70351e-09,7.65032e-05,-2.35119e-07,6.25945e-08
Time0_pop,-0.00123298,2.82619e-05,12.0603,-1.43266,-8.47157e-05,-1.41969,1.67338e-05,5.97306,6.31125e-05,-0.000291855
omega_alpha,-0.0128567,-9.27659e-05,-1.43266,42.9949,0.00844004,15.063,-4.72331e-05,-1.66625,0.00405034,-0.00131661
omega_D,-0.00194474,-5.24253e-07,-8.47157e-05,0.00844004,0.0397147,0.0431392,-1.59122e-07,-0.00271285,0.00131835,-0.000357146
omega_C,0.0610267,-0.000652628,-1.41969,15.063,0.0431392,1488.24,-0.000277184,-6.3821,0.0544258,-0.0159111
omega_B,1.90758e-07,1.70351e-09,1.67338e-05,-4.72331e-05,-1.59122e-07,-0.000277184,1.71854e-09,4.09515e-05,-5.29334e-08,1.32223e-08
omega_Time0,0.011942,7.65032e-05,5.97306,-1.66625,-0.00271285,-6.3821,4.09515e-05,14.8644,0.00334096,-0.00110193
a,-0.000488483,-2.35119e-07,6.31125e-05,0.00405034,0.00131835,0.0544258,-5.29334e-08,0.00334096,0.00570434,-0.00130813
b,0.000134356,6.25945e-08,-0.000291855,-0.00131661,-0.000357146,-0.0159111,1.32223e-08,-0.00110193,-0.00130813,0.000354775
