rep,ID,uid,TIME,y20,cens
1,1,1_rep1,-6,7.69139,0
1,1,1_rep1,-5,4.99116,0
1,1,1_rep1,-5,4.76319,0
1,1,1_rep1,-4,9.80762,0
1,1,1_rep1,-4,7.56082,0
1,1,1_rep1,-4,8.90675,0
1,1,1_rep1,-4,9.3744,0
1,1,1_rep1,-4,9.03759,0
1,1,1_rep1,-3,9.72205,0
1,1,1_rep1,-3,11.2054,0
1,1,1_rep1,-3,3.59185,0
1,1,1_rep1,-3,3.49678,0
1,1,1_rep1,-3,8.78862,0
1,1,1_rep1,-3,8.53033,0
1,1,1_rep1,-3,6.1503,0
1,1,1_rep1,-3,4.55271,0
1,1,1_rep1,-3,4.6168,0
1,1,1_rep1,-3,6.21993,0
1,1,1_rep1,-3,2.43422,0
1,1,1_rep1,-3,6.00066,0
1,1,1_rep1,-2,7.61437,0
1,1,1_rep1,-2,4.14546,0
1,1,1_rep1,-2,6.73052,0
1,1,1_rep1,-2,1.38652,0
1,1,1_rep1,-2,3.84978,0
1,1,1_rep1,-2,0.23496,1
1,1,1_rep1,-2,6.93519,0
1,1,1_rep1,-2,5.39523,0
1,1,1_rep1,-2,7.24458,0
1,1,1_rep1,-2,1.98447,0
1,1,1_rep1,-2,5.38831,0
1,1,1_rep1,-2,5.42979,0
1,1,1_rep1,-2,10.3397,0
1,1,1_rep1,-2,5.93528,0
1,1,1_rep1,-2,8.67107,0
1,1,1_rep1,-2,4.9332,0
1,1,1_rep1,-2,3.77676,0
1,1,1_rep1,-2,7.78243,0
1,1,1_rep1,-2,9.84184,0
1,1,1_rep1,-2,8.08309,0
1,1,1_rep1,-2,4.62322,0
1,1,1_rep1,-2,8.8692,0
1,1,1_rep1,-1,4.51153,0
1,1,1_rep1,-1,4.19187,0
1,1,1_rep1,-1,9.26506,0
1,1,1_rep1,-1,4.42532,0
1,1,1_rep1,-1,4.25358,0
1,1,1_rep1,-1,6.98877,0
1,1,1_rep1,-1,6.64779,0
1,1,1_rep1,-1,1.28687,0
1,1,1_rep1,-1,6.48521,0
1,1,1_rep1,-1,6.48686,0
1,1,1_rep1,-1,5.68253,0
1,1,1_rep1,-1,4.44608,0
1,1,1_rep1,-1,5.98307,0
1,1,1_rep1,-1,8.62156,0
1,1,1_rep1,-1,9.027,0
1,1,1_rep1,-1,3.23126,0
1,1,1_rep1,-1,5.13612,0
1,1,1_rep1,-1,6.59579,0
1,1,1_rep1,-1,1.36068,0
1,1,1_rep1,-1,6.22234,0
1,1,1_rep1,-1,4.56785,0
1,1,1_rep1,-1,4.55847,0
1,1,1_rep1,-1,8.14895,0
1,1,1_rep1,-1,7.42266,0
1,1,1_rep1,-1,6.23011,0
1,1,1_rep1,-1,2.45518,0
1,1,1_rep1,-1,10.5288,0
1,1,1_rep1,-1,4.2069,0
1,1,1_rep1,-1,3.97125,0
1,1,1_rep1,-1,4.79876,0
1,1,1_rep1,-1,7.83374,0
1,1,1_rep1,-1,4.4299,0
1,1,1_rep1,-1,10.4138,0
1,1,1_rep1,-1,7.46851,0
1,1,1_rep1,0,6.04209,0
1,1,1_rep1,0,5.66747,0
1,1,1_rep1,0,7.28164,0
1,1,1_rep1,0,4.98625,0
1,1,1_rep1,0,5.08699,0
