D_pop,0.0184967,-1.7665e-06,0.00766332,-0.0186331,-0.000807076,-0.000478827,-9.23029e-06,0.00992116,0.00128156,-0.000223014
B_pop,-1.7665e-06,1.55875e-05,0.00243355,0.000585914,-2.89899e-05,0.00180796,1.44519e-06,0.00224352,-2.6263e-05,4.5626e-06
Time0_pop,0.00766332,0.00243355,33.5019,-0.992835,-0.0156882,0.842206,0.000461388,17.4116,0.0154121,-0.00242596
omega_alpha,-0.0186331,0.000585914,-0.992835,17.5425,-0.00618183,0.656871,0.00038121,-0.647801,-0.0318159,0.00555255
omega_D,-0.000807076,-2.89899e-05,-0.0156882,-0.00618183,0.0100038,-0.01508,5.91612e-06,-0.0158423,-0.000383434,7.13578e-05
omega_C,-0.000478827,0.00180796,0.842206,0.656871,-0.01508,2.14172,0.00017274,0.585251,-0.00984587,0.00177823
omega_B,-9.23029e-06,1.44519e-06,0.000461388,0.00038121,5.91612e-06,0.00017274,5.94838e-06,0.000193628,-1.38133e-05,2.60209e-06
omega_Time0,0.00992116,0.00224352,17.4116,-0.647801,-0.0158423,0.585251,0.000193628,25.4407,0.0194166,-0.00315903
a,0.00128156,-2.6263e-05,0.0154121,-0.0318159,-0.000383434,-0.00984587,-1.38133e-05,0.0194166,0.0100708,-0.00172425
b,-0.000223014,4.5626e-06,-0.00242596,0.00555255,7.13578e-05,0.00177823,2.60209e-06,-0.00315903,-0.00172425,0.00030676
