rep,id,eta_alpha,eta_D,eta_E,eta_C,eta_B,eta_ECLIPSE0,eta_BUD0,eta_ep,eta_Time0
1,1,0.0128011,-0.219094,0,0,-0.0311936,0,0,0,0.808336
2,1,0.809234,-0.374898,0,0,0.180837,0,0,0,8.85644
3,1,-0.148474,-0.205871,0,0,-0.0235893,0,0,0,3.26535
4,1,-0.141705,-0.214762,0,0,-0.00169667,0,0,0,6.78018
5,1,-0.153476,-0.218791,0,0,-0.065368,0,0,0,1.81515
6,1,0.0237574,-0.266869,0,0,0.0136607,0,0,0,8.17124
7,1,0.18144,-0.203075,0,0,0.0743403,0,0,0,-2.29332
8,1,-0.179047,-0.202204,0,0,0.0408641,0,0,0,1.18888
9,1,-0.0592321,-0.181722,0,0,0.022041,0,0,0,2.05104
10,1,1.21562,-0.399863,0,0,-0.122725,0,0,0,-1.76859
1,2,3.55137,0.30959,0,0,-0.00148279,0,0,0,1.53704
2,2,2.74583,0.317133,0,0,0.00464726,0,0,0,2.44211
3,2,5.79484,0.27506,0,0,0.0681161,0,0,0,1.4684
4,2,7.95064,0.268539,0,0,0.0533856,0,0,0,0.46502
5,2,2.79865,0.316943,0,0,0.0705657,0,0,0,2.39711
6,2,4.42277,0.298127,0,0,0.0503499,0,0,0,6.77295
7,2,4.00106,0.307349,0,0,0.00418402,0,0,0,0.138566
8,2,3.00427,0.292889,0,0,-0.0542873,0,0,0,1.70098
9,2,3.19385,0.273543,0,0,-0.0168538,0,0,0,2.42445
10,2,3.84576,0.257854,0,0,-0.0490642,0,0,0,2.49073
1,3,0.998277,-0.0529271,0,0,-0.0301774,0,0,0,-6.49521
2,3,0.953146,-0.0258779,0,0,0.0222596,0,0,0,-6.64542
3,3,0.864337,-0.0309458,0,0,0.0110182,0,0,0,-6.44678
4,3,1.0721,-0.0422551,0,0,-0.0453707,0,0,0,-6.53054
5,3,0.812097,-0.0165014,0,0,0.0216258,0,0,0,-6.43147
6,3,0.97753,-0.0518632,0,0,0.0674315,0,0,0,-6.77587
7,3,0.671969,-0.0254003,0,0,0.0249832,0,0,0,-6.22728
8,3,0.936134,-0.0376504,0,0,-0.0307561,0,0,0,-6.47839
9,3,0.732561,-0.0207981,0,0,0.0957731,0,0,0,-6.54298
10,3,1.09368,-0.0296188,0,0,0.036661,0,0,0,-6.76082
