D_pop,1,-0.0272078,-0.0147066,0.000835717,-0.0308506,0.0215937,-0.0177446,-0.010236,-0.0179438,0.0196207
B_pop,-0.0272078,1,0.48083,-0.305877,0.0975474,-0.828004,0.523804,0.473979,0.170185,-0.175817
Time0_pop,-0.0147066,0.48083,1,-0.198348,0.0601121,-0.534746,0.259084,0.545558,0.101209,-0.105477
omega_alpha,0.000835717,-0.305877,-0.198348,1,-0.0311509,0.38026,-0.335796,-0.169385,-0.0647366,0.0656418
omega_D,-0.0308506,0.0975474,0.0601121,-0.0311509,1,-0.0979744,0.0393755,0.0769143,0.0945327,-0.1017
omega_C,0.0215937,-0.828004,-0.534746,0.38026,-0.0979744,1,-0.552263,-0.57299,-0.172708,0.177864
omega_B,-0.0177446,0.523804,0.259084,-0.335796,0.0393755,-0.552263,1,0.172382,0.0639466,-0.0676714
omega_Time0,-0.010236,0.473979,0.545558,-0.169385,0.0769143,-0.57299,0.172382,1,0.155031,-0.160919
a,-0.0179438,0.170185,0.101209,-0.0647366,0.0945327,-0.172708,0.0639466,0.155031,1,-0.921332
b,0.0196207,-0.175817,-0.105477,0.0656418,-0.1017,0.177864,-0.0676714,-0.160919,-0.921332,1
