D_pop,1,0.0794233,0.0167653,0.54625,0.398884,-0.24345,-0.599251,0.597765
B_pop,0.0794233,1,-0.111255,0.119222,-0.0815962,-0.0663164,-0.0818454,0.0799059
Time0_pop,0.0167653,-0.111255,1,0.0381122,0.0375796,0.443147,-0.0234086,0.021832
omega_D,0.54625,0.119222,0.0381122,1,0.489521,-0.289598,-0.761511,0.759389
omega_B,0.398884,-0.0815962,0.0375796,0.489521,1,-0.311148,-0.647666,0.653864
omega_Time0,-0.24345,-0.0663164,0.443147,-0.289598,-0.311148,1,0.370116,-0.372405
a,-0.599251,-0.0818454,-0.0234086,-0.761511,-0.647666,0.370116,1,-0.986291
b,0.597765,0.0799059,0.021832,0.759389,0.653864,-0.372405,-0.986291,1
