D_pop,1,0.0166882,-0.0262699,-0.0250789,-0.0465942,-0.0226634,-0.0217517,0.0890991,-0.0879979
B_pop,0.0166882,1,0.0636666,0.0312384,-0.0132298,-0.0140496,0.0868143,0.152487,-0.176631
Time0_pop,-0.0262699,0.0636666,1,-0.135216,0.0164916,0.137874,0.671593,-0.033245,0.0361579
omega_alpha,-0.0250789,0.0312384,-0.135216,1,0.0135382,0.156423,-0.0946326,-0.0408659,0.0441535
omega_D,-0.0465942,-0.0132298,0.0164916,0.0135382,1,-0.00980494,0.00572681,-0.0504261,0.052399
omega_B,-0.0226634,-0.0140496,0.137874,0.156423,-0.00980494,1,0.176181,-0.102793,0.123226
omega_Time0,-0.0217517,0.0868143,0.671593,-0.0946326,0.00572681,0.176181,1,-0.0268109,0.0292634
a,0.0890991,0.152487,-0.033245,-0.0408659,-0.0504261,-0.102793,-0.0268109,1,-0.980982
b,-0.0879979,-0.176631,0.0361579,0.0441535,0.052399,0.123226,0.0292634,-0.980982,1
