ID,TIME,popPred_medianCOV,popPred,indivPred_mean,indivPred_mode
1,8.5075051990763,6.2705,6.2705,6.17447,6.431
1,8.64806744809237,6.25103,6.25103,6.15904,6.41529
1,8.78862969710843,6.23156,6.23156,6.14361,6.39959
1,8.9291919461245,6.2121,6.2121,6.12818,6.38388
1,8.936170213,6.21113,6.21113,6.12742,6.3831
1,9.01891253,6.19967,6.19967,6.11833,6.37385
1,9.06975419514056,6.19263,6.19263,6.11275,6.36817
1,9.101654846,6.18821,6.18821,6.10925,6.36461
1,9.184397163,6.17676,6.17676,6.10017,6.35536
1,9.21031644415662,6.17317,6.17317,6.09732,6.35247
1,9.35087869317269,6.1537,6.1537,6.08189,6.33676
1,9.49144094218875,6.13423,6.13423,6.06646,6.32105
1,9.63200319120482,6.11477,6.11477,6.05103,6.30534
1,9.77256544022088,6.0953,6.0953,6.03561,6.28964
1,9.91312768923695,6.07584,6.07584,6.02018,6.27393
1,10.01182033,6.06217,6.06217,6.00934,6.2629
1,10.053689938253,6.05637,6.05637,6.00475,6.25822
1,10.09456265,6.05071,6.05071,6.00026,6.25366
1,10.1942521872691,6.0369,6.0369,5.98932,6.24252
1,10.3348144362851,6.01744,6.01744,5.97389,6.22681
1,10.4753766853012,5.99797,5.99797,5.95846,6.2111
1,10.6159389343173,5.9785,5.9785,5.94303,6.1954
1,10.7565011833333,5.95903,5.95903,5.9276,6.17969
1,10.8970634323494,5.93957,5.93957,5.91217,6.16398
1,11.00472813,5.92466,5.92466,5.90035,6.15195
1,11.0376256813655,5.9201,5.9201,5.89674,6.14828
1,11.08747045,5.9132,5.9132,5.89127,6.14271
1,11.1781879303815,5.90063,5.90063,5.88131,6.13257
1,11.3187501793976,5.88117,5.88117,5.86588,6.11686
1,11.4593124284137,5.8617,5.8617,5.85045,6.10115
1,11.5998746774297,5.84223,5.84223,5.83502,6.08545
1,11.7404369264458,5.82276,5.82276,5.81959,6.06974
1,11.8809991754618,5.8033,5.8033,5.80416,6.05403
1,11.99763593,5.78714,5.78714,5.79136,6.041
1,12.0215614244779,5.78383,5.78383,5.78873,6.03833
1,12.08037825,5.77568,5.77568,5.78228,6.03175
1,12.162123673494,5.76436,5.76436,5.7733,6.02262
1,12.30268592251,5.7449,5.7449,5.75787,6.00691
1,12.4432481715261,5.72543,5.72543,5.74244,5.99121
1,12.5838104205422,5.70596,5.70596,5.72701,5.9755
1,12.7243726695582,5.68649,5.68649,5.71158,5.95979
1,12.8649349185743,5.66703,5.66703,5.69615,5.94409
1,12.99054374,5.64963,5.64963,5.68237,5.93005
1,13.0054971675904,5.64756,5.64756,5.68072,5.92838
1,13.07328605,5.63817,5.63817,5.67328,5.9208
1,13.1460594166064,5.62809,5.62809,5.6653,5.91267
1,13.15602837,5.62671,5.62671,5.6642,5.91156
1,13.2866216656225,5.60862,5.60862,5.64987,5.89696
1,13.4271839146386,5.58916,5.58916,5.63444,5.88126
1,13.5677461636546,5.56969,5.56969,5.61901,5.86555
1,13.7083084126707,5.55022,5.55022,5.60358,5.84984
1,13.8488706616867,5.53075,5.53075,5.58815,5.83414
1,13.98345154,5.51211,5.51211,5.57337,5.8191
1,13.9894329107028,5.51128,5.51128,5.57272,5.81843
1,14.06619385,5.50065,5.50065,5.56429,5.80985
1,14.1299951597189,5.49182,5.49182,5.55729,5.80272
1,14.14893617,5.48919,5.48919,5.55521,5.80061
1,14.2705574087349,5.47235,5.47235,5.54186,5.78702
1,14.411119657751,5.45288,5.45288,5.52643,5.77131
1,14.5516819067671,5.43341,5.43341,5.511,5.7556
1,14.6922441557831,5.41395,5.41395,5.49557,5.7399
1,14.8328064047992,5.39448,5.39448,5.48014,5.72419
1,14.9733686538153,5.37501,5.37501,5.46471,5.70848
1,14.97635934,5.3746,5.3746,5.46438,5.70815
1,15.05910165,5.36314,5.36314,5.4553,5.6989
1,15.1139309028313,5.35554,5.35554,5.44928,5.69277
1,15.2544931518474,5.33607,5.33607,5.43385,5.67707
1,15.3950554008635,5.31661,5.31661,5.41842,5.66136
1,15.5356176498795,5.29714,5.29714,5.40299,5.64565
1,15.6761798988956,5.27767,5.27767,5.38756,5.62995
1,15.8167421479116,5.2582,5.2582,5.37213,5.61424
1,15.9573043969277,5.23874,5.23874,5.3567,5.59853
1,15.96926714,5.23708,5.23708,5.35539,5.5972
1,16.05200946,5.22562,5.22562,5.34631,5.58795
