D_pop,0.0175165,0.00282234,-0.018074,-0.0164135,-0.000481729,0.000806839,0.00198415,-0.0151662,0.00149249,-0.000262103
B_pop,0.00282234,0.262534,-0.307432,-2.52038,-0.000378803,-0.123503,0.15027,-0.453003,0.00647068,-0.00134227
Time0_pop,-0.018074,-0.307432,29.6437,-3.42064,0.0107416,0.382514,-0.290136,18.6508,-0.0148141,0.00308247
omega_alpha,-0.0164135,-2.52038,-3.42064,95.1501,-0.0241497,1.65247,-1.32718,-0.0472103,-0.0503628,0.0104952
omega_D,-0.000481729,-0.000378803,0.0107416,-0.0241497,0.00897157,-0.013937,-0.000239447,0.00708117,-0.000463361,8.61979e-05
omega_C,0.000806839,-0.123503,0.382514,1.65247,-0.013937,1.93391,-0.0910778,0.33665,-0.00877845,0.00154433
omega_B,0.00198415,0.15027,-0.290136,-1.32718,-0.000239447,-0.0910778,0.132873,-0.395958,0.00390908,-0.000813332
omega_Time0,-0.0151662,-0.453003,18.6508,-0.0472103,0.00708117,0.33665,-0.395958,23.3343,-0.0129099,0.00280111
a,0.00149249,0.00647068,-0.0148141,-0.0503628,-0.000463361,-0.00877845,0.00390908,-0.0129099,0.0106276,-0.00182825
b,-0.000262103,-0.00134227,0.00308247,0.0104952,8.61979e-05,0.00154433,-0.000813332,0.00280111,-0.00182825,0.000326024
