D_pop,1,0.0881013,-0.0545359,0.0608076,-0.0661822,-0.0859311,-0.0491551,0.12719,-0.126236
B_pop,0.0881013,1,0.104845,0.285119,-0.0388432,-0.474166,0.128602,0.454364,-0.479372
Time0_pop,-0.0545359,0.104845,1,-0.357731,0.0827807,-0.0450376,0.83185,-0.0382755,0.0338324
omega_alpha,0.0608076,0.285119,-0.357731,1,-0.0663974,-0.362702,-0.330297,0.248138,-0.249398
omega_D,-0.0661822,-0.0388432,0.0827807,-0.0663974,1,0.0147111,0.0777546,-0.065046,0.0670935
omega_B,-0.0859311,-0.474166,-0.0450376,-0.362702,0.0147111,1,-0.0764487,-0.458019,0.457677
omega_Time0,-0.0491551,0.128602,0.83185,-0.330297,0.0777546,-0.0764487,1,-0.0174871,0.012741
a,0.12719,0.454364,-0.0382755,0.248138,-0.065046,-0.458019,-0.0174871,1,-0.985933
b,-0.126236,-0.479372,0.0338324,-0.249398,0.0670935,0.457677,0.012741,-0.985933,1
