D_pop,1,0.0679471,-0.0420254,-0.0025731,-0.0806728,-0.199142,-0.0217007,0.19352,-0.19857
B_pop,0.0679471,1,0.132867,-0.133444,-0.0555646,-0.140436,0.167416,0.23452,-0.252531
Time0_pop,-0.0420254,0.132867,1,-0.231129,0.0505972,0.126038,0.734174,-0.0577199,0.0640245
omega_alpha,-0.0025731,-0.133444,-0.231129,1,-0.0135381,-0.093085,-0.212675,0.00786127,-0.0114787
omega_D,-0.0806728,-0.0555646,0.0505972,-0.0135381,1,0.145548,0.0297767,-0.135284,0.141624
omega_B,-0.199142,-0.140436,0.126038,-0.093085,0.145548,1,0.0692077,-0.622416,0.666746
omega_Time0,-0.0217007,0.167416,0.734174,-0.212675,0.0297767,0.0692077,1,-0.00646585,0.0104298
a,0.19352,0.23452,-0.0577199,0.00786127,-0.135284,-0.622416,-0.00646585,1,-0.987382
b,-0.19857,-0.252531,0.0640245,-0.0114787,0.141624,0.666746,0.0104298,-0.987382,1
