rep,id,alpha,D,E,C,B,ECLIPSE0,BUD0,ep,Time0
1,1,0.015657,0.261481,5,10,5965.66,1e-07,0.033,0.001,8.49919
2,1,0.013005,0.234703,5,10,6605.8,1e-07,0.033,0.001,10.9785
3,1,0.00508323,0.240831,5,10,6415.57,1e-07,0.033,0.001,8.99642
4,1,7.47869e-05,0.247698,5,10,6981.46,1e-07,0.033,0.001,13.8066
5,1,4.91904e-05,0.281148,5,10,6382.86,1e-07,0.033,0.001,13.9997
6,1,7.12742e-05,0.282807,5,10,6722.82,1e-07,0.033,0.001,10.0842
7,1,4.55076,0.2665,5,10,6586.63,1e-07,0.033,0.001,8.014
8,1,0.000160994,0.234503,5,10,6443.38,1e-07,0.033,0.001,10.683
9,1,0.00539604,0.262708,5,10,6135.12,1e-07,0.033,0.001,9.15042
10,1,0.000141596,0.221617,5,10,6238.47,1e-07,0.033,0.001,13.9286
1,2,0.0692551,0.427803,5,10,6699.4,1e-07,0.033,0.001,13.9394
2,2,0.0331019,0.430476,5,10,6385.65,1e-07,0.033,0.001,13.8956
3,2,0.0110409,0.432184,5,10,7217.79,1e-07,0.033,0.001,13.9846
4,2,0.00456789,0.446756,5,10,6473.29,1e-07,0.033,0.001,13.6126
5,2,0.00112851,0.448339,5,10,6588.69,1e-07,0.033,0.001,13.8838
6,2,0.0318253,0.4428,5,10,7124.94,1e-07,0.033,0.001,14
7,2,0.0022167,0.431977,5,10,7295.81,1e-07,0.033,0.001,13.9966
8,2,0.0769294,0.463239,5,10,7103.69,1e-07,0.033,0.001,13.2418
9,2,0.0535631,0.431294,5,10,6285.54,1e-07,0.033,0.001,13.9991
10,2,0.00183651,0.443513,5,10,6630.94,1e-07,0.033,0.001,13.971
1,3,0.000222007,0.310718,5,10,6338.7,1e-07,0.033,0.001,1.31692
2,3,0.000264005,0.308987,5,10,6496.18,1e-07,0.033,0.001,1.22966
3,3,0.000193527,0.309627,5,10,6201.83,1e-07,0.033,0.001,1.51868
4,3,0.000160616,0.304185,5,10,6795.43,1e-07,0.033,0.001,1.35923
5,3,0.000250183,0.310187,5,10,6661.1,1e-07,0.033,0.001,1.07196
6,3,0.00013404,0.313525,5,10,7006.06,1e-07,0.033,0.001,1.5808
7,3,9.98356e-05,0.31518,5,10,7476.03,1e-07,0.033,0.001,1.78465
8,3,0.000161647,0.314034,5,10,7015.69,1e-07,0.033,0.001,1.34628
9,3,0.000203697,0.309035,5,10,6632.64,1e-07,0.033,0.001,1.23726
10,3,0.000178185,0.310068,5,10,6746.7,1e-07,0.033,0.001,1.29953
