D_pop,1,-0.00865021,-0.0813639,-0.0276374,-0.0859278,-0.0811987,0.0545796,-0.0658454
B_pop,-0.00865021,1,0.537819,0.268306,0.0746197,0.54123,-0.180864,0.243371
Time0_pop,-0.0813639,0.537819,1,0.365351,0.366316,0.996329,-0.447144,0.575369
omega_D,-0.0276374,0.268306,0.365351,1,0.0262805,0.365506,-0.122606,0.167124
omega_B,-0.0859278,0.0746197,0.366316,0.0262805,1,0.367207,-0.263813,0.317442
omega_Time0,-0.0811987,0.54123,0.996329,0.365506,0.367207,1,-0.445856,0.57419
a,0.0545796,-0.180864,-0.447144,-0.122606,-0.263813,-0.445856,1,-0.924484
b,-0.0658454,0.243371,0.575369,0.167124,0.317442,0.57419,-0.924484,1
