D_pop,0.0715683,-2.52399e-07,-0.0149369,0.122392,-0.00121153,5.41991,1.22602e-07,-0.00719147,-0.000235499,7.35508e-05
B_pop,-2.52399e-07,8.3786e-10,-4.59794e-06,-0.000196095,-1.09654e-07,-0.00863182,-4.26004e-10,-3.21696e-05,-2.20116e-07,4.50882e-08
Time0_pop,-0.0149369,-4.59794e-06,14.9464,0.871913,0.0208805,70.8513,1.04528e-05,8.99409,0.0166431,-0.00456549
omega_alpha,0.122392,-0.000196095,0.871913,146.791,0.0745932,4301.78,0.000149469,11.1042,0.133435,-0.0297886
omega_D,-0.00121153,-1.09654e-07,0.0208805,0.0745932,0.0375941,2.89148,1.60357e-07,0.0480363,0.00129942,-0.000347349
omega_C,5.41991,-0.00863182,70.8513,4301.78,2.89148,184098,0.00640927,497.852,5.46294,-1.20209
omega_B,1.22602e-07,-4.26004e-10,1.04528e-05,0.000149469,1.60357e-07,0.00640927,3.57412e-10,3.52251e-05,2.30668e-07,-5.27663e-08
omega_Time0,-0.00719147,-3.21696e-05,8.99409,11.1042,0.0480363,497.852,3.52251e-05,22.5212,0.0522263,-0.01344
a,-0.000235499,-2.20116e-07,0.0166431,0.133435,0.00129942,5.46294,2.30668e-07,0.0522263,0.00585219,-0.00133841
b,7.35508e-05,4.50882e-08,-0.00456549,-0.0297886,-0.000347349,-1.20209,-5.27663e-08,-0.01344,-0.00133841,0.00036062
