D_pop,1,0.134492,-0.0143127,-0.0205463,-0.0523009,-0.117212,-0.00353684,0.155604,-0.155957
B_pop,0.134492,1,0.0501927,-0.0262718,-0.0845443,-0.556643,0.113473,0.642643,-0.671601
Time0_pop,-0.0143127,0.0501927,1,-0.15053,0.0261301,-0.067627,0.617742,0.0349967,-0.0337374
omega_alpha,-0.0205463,-0.0262718,-0.15053,1,-0.0124793,0.274739,-0.0944986,-0.0651413,0.0648749
omega_D,-0.0523009,-0.0845443,0.0261301,-0.0124793,1,0.0755088,0.0122587,-0.0961483,0.0989683
omega_B,-0.117212,-0.556643,-0.067627,0.274739,0.0755088,1,-0.0529038,-0.471507,0.488941
omega_Time0,-0.00353684,0.113473,0.617742,-0.0944986,0.0122587,-0.0529038,1,0.0742853,-0.0748351
a,0.155604,0.642643,0.0349967,-0.0651413,-0.0961483,-0.471507,0.0742853,1,-0.988566
b,-0.155957,-0.671601,-0.0337374,0.0648749,0.0989683,0.488941,-0.0748351,-0.988566,1
