rep,id,alpha,D,E,C,B,ECLIPSE0,BUD0,ep,Time0
1,1,0.000420227,0.247637,5,10,6387.08,1e-07,0.033,0.001,9.84435
2,1,7.311e-05,0.234238,5,10,6577.87,1e-07,0.033,0.001,13.9884
3,1,0.000117344,0.226832,5,10,6307.77,1e-07,0.033,0.001,13.7812
4,1,4.07608e-05,0.285507,5,10,6399.83,1e-07,0.033,0.001,13.9149
5,1,4.7259e-05,0.265466,5,10,6196.42,1e-07,0.033,0.001,14
6,1,0.00620601,0.237958,5,10,6298.81,1e-07,0.033,0.001,10.2983
7,1,5.60101e-05,0.236223,5,10,6493.3,1e-07,0.033,0.001,13.9969
8,1,0.000332895,0.287837,5,10,6844.82,1e-07,0.033,0.001,7.14256
9,1,4.46614e-05,0.268413,5,10,6692.84,1e-07,0.033,0.001,13.989
10,1,0.000154147,0.265141,5,10,6519.19,1e-07,0.033,0.001,10.4963
1,2,0.00221947,0.46197,5,10,6256.32,1e-07,0.033,0.001,13.9752
2,2,0.00314052,0.434286,5,10,6618.4,1e-07,0.033,0.001,13.9988
3,2,0.00809753,0.44168,5,10,6411.75,1e-07,0.033,0.001,14
4,2,0.00414671,0.432595,5,10,6998.49,1e-07,0.033,0.001,14
5,2,0.00158046,0.437798,5,10,6435.61,1e-07,0.033,0.001,13.9104
6,2,0.00487984,0.427518,5,10,6439.84,1e-07,0.033,0.001,13.9999
7,2,0.00261874,0.43801,5,10,6486.38,1e-07,0.033,0.001,14
8,2,0.00880392,0.454949,5,10,6453.65,1e-07,0.033,0.001,13.7635
9,2,0.00214077,0.440775,5,10,6751.3,1e-07,0.033,0.001,14
10,2,0.0527166,0.437624,5,10,6524.94,1e-07,0.033,0.001,13.9998
1,3,0.000164859,0.308751,5,10,6568.71,1e-07,0.033,0.001,1.35012
2,3,0.000206603,0.305288,5,10,6158.75,1e-07,0.033,0.001,1.18354
3,3,0.000189225,0.305092,5,10,6331.29,1e-07,0.033,0.001,1.13967
4,3,0.00018864,0.311112,5,10,6413.57,1e-07,0.033,0.001,1.2069
5,3,0.000118691,0.316201,5,10,6764.21,1e-07,0.033,0.001,1.61653
6,3,0.000127378,0.318123,5,10,6454.96,1e-07,0.033,0.001,1.61658
7,3,0.000151843,0.318344,5,10,6793.97,1e-07,0.033,0.001,1.16941
8,3,0.00016425,0.311299,5,10,6512.67,1e-07,0.033,0.001,1.3404
9,3,0.000155168,0.308274,5,10,6599.8,1e-07,0.033,0.001,1.38256
10,3,0.00018374,0.317211,5,10,6324.68,1e-07,0.033,0.001,1.1171
